,teaching,international,research,citations,income,scores,clusters,cluster
1541,30.5,61.6,46.7,73.9,42.8,51.0,0,light pink
1542,26.1,52.6,26.7,97.1,79.4,50.9,2,purple
1543,46.2,49.1,51.9,55.1,49.6,50.9,3,black
1544,53.5,37.0,52.9,48.1,69.4,50.9,2,purple
1545,38.3,69.0,47.1,57.3,99.9,50.5,2,purple
1546,40.5,34.3,45.3,71.0,35.2,50.5,3,black
1547,39.4,67.6,39.1,69.3,39.4,50.4,0,light pink
1548,25.8,54.7,29.1,95.3,43.9,50.3,3,black
1549,48.1,35.8,50.2,51.7,98.5,50.2,2,purple
1550,42.8,75.8,39.8,62.7,36.0,50.2,0,light pink
1552,29.4,61.6,27.5,91.5,39.5,50.1,0,light pink
1553,38.3,33.1,35.4,80.4,49.1,50.0,3,black
1554,30.9,66.3,47.5,66.5,59.8,49.9,0,light pink
1555,32.0,79.8,32.7,78.0,35.8,49.7,0,light pink
1556,48.8,27.5,57.3,47.7,43.8,49.3,3,black
1557,39.0,56.8,29.9,75.0,69.8,49.2,2,purple
1558,51.3,29.1,48.0,51.1,73.6,49.1,2,purple
1559,31.3,79.5,33.2,76.2,40.0,49.1,0,light pink
1560,36.3,87.3,38.1,62.2,63.3,49.1,0,light pink
1561,34.0,71.8,34.4,73.5,44.4,49.0,0,light pink
1562,38.1,64.4,33.8,73.0,29.3,49.0,0,light pink
1563,38.8,27.5,36.5,75.0,58.1,48.6,3,black
1564,38.0,56.7,28.1,74.0,81.4,48.3,2,purple
1565,33.8,79.3,40.4,61.1,65.3,48.2,0,light pink
1566,30.2,37.3,36.9,79.7,51.1,48.1,3,black
1567,40.5,60.1,34.9,62.9,82.7,48.1,2,purple
1568,25.1,63.2,28.3,88.3,35.9,48.1,0,light pink
1569,49.7,29.7,47.3,49.6,76.8,48.1,2,purple
1571,34.6,61.0,33.6,67.7,100.0,47.9,2,purple
1572,39.9,70.6,35.8,62.7,39.6,47.8,0,light pink
1573,37.9,59.7,34.9,67.7,46.1,47.8,0,light pink
1574,51.1,43.3,28.2,62.2,80.0,47.7,2,purple
1575,21.6,70.1,30.6,86.7,31.6,47.7,0,light pink
1576,28.6,87.3,33.4,68.4,74.2,47.5,0,light pink
1577,41.9,31.7,33.5,71.0,49.3,47.5,3,black
1578,32.4,41.2,24.4,87.1,40.6,47.3,3,black
1579,38.0,57.3,29.3,73.0,31.3,47.1,0,light pink
1580,28.0,84.1,30.2,74.3,42.1,47.1,0,light pink
1581,25.6,67.4,19.7,92.2,29.1,47.0,0,light pink
1582,29.0,40.6,36.3,73.1,99.3,47.0,2,purple
1583,35.7,29.5,37.5,73.1,32.6,46.9,3,black
1584,26.0,44.6,27.1,88.5,42.9,46.9,3,black
1585,35.2,91.0,39.7,56.3,29.4,46.9,0,light pink
1586,36.4,54.7,21.9,81.3,34.0,46.8,3,black
1587,36.1,60.3,35.2,66.3,36.6,46.7,0,light pink
1589,32.8,60.5,24.4,80.4,31.3,46.6,0,light pink
1590,43.5,46.1,51.1,45.5,42.6,46.6,3,black
1591,37.9,63.2,34.7,62.9,45.9,46.6,0,light pink
1592,40.1,57.0,39.8,57.5,39.6,46.5,0,light pink
1593,31.0,71.3,32.9,68.6,49.8,46.3,0,light pink
1594,45.6,37.4,34.0,61.0,49.4,46.2,3,black
1595,36.4,40.6,30.9,72.0,54.4,46.2,3,black
1597,55.9,60.4,42.1,33.8,78.5,46.0,2,purple
1598,23.1,55.8,27.3,86.4,32.4,46.0,0,light pink
1599,25.2,76.5,22.6,83.7,29.2,45.9,0,light pink
1600,29.8,83.9,31.6,67.1,34.8,45.7,0,light pink
1601,19.7,63.0,13.1,99.2,53.7,45.6,0,light pink
1602,44.6,39.9,25.1,70.0,29.3,45.6,3,black
